Site,Latitude,Longitude,State,County,Northing,Easting,200m_open_water,200m_developed,200m_forest,200m_earlysuccessional,200m_wetlands,1000m_open,1000m_developed,1000m_forest,1000m_earlysuccessional,1000m_wetlands
Andelot,39.3115,-76.1768,Maryland,Kent.MD,4352005.12,398545.72,0.137931034,0,0.324137931,0.096551724,0.44137931,0.264088802,0,0.243291047,0.302482313,0.185167114
Antietam_Snavely_Woods,39.4481,-77.7285,Maryland,Washington,4370058.14,265214.61,0.191780822,0.184931507,0.575342466,0.047945205,0,0.037412059,0.067919616,0.351916684,0.533748415,0.009003227
Antietam_West_Woods,39.4759,-77.7502,Maryland,Washington,4373200.85,263441.28,0,0.234482759,0.110344828,0.655172414,0,0,0.102802856,0.01931743,0.876011956,0.001867758
Arlington_Echo,39.0758,-76.6075,Maryland,Anne.Arundel,4326418,360948.61,0.103448276,0.04137931,0.703448276,0,0.151724138,0.298110845,0.174147437,0.4031827,0.013103438,0.075718933
Audrey_Carroll_Audubon_Sanctuary,39.4213,-77.2059,Maryland,Frederick,4365852.2,310116,0,0,0.510344828,0.4,0.089655172,0,0.037653357,0.256561136,0.621850533,0.069910242
Battle_Creek_Forest,38.4917,-76.5914,Maryland,Calvert,4261572.24,361213.32,0,0.184931507,0.363013699,0,0.452054795,0.002206593,0.099145447,0.54865151,0.107644686,0.241089532
Battle_Creek_Swamp,38.4916,-76.592,Maryland,Calvert,4261562.05,361160.8,0,0.067567568,0.385135135,0.027027027,0.52027027,0.002207928,0.09797025,0.548035562,0.109253844,0.239691446
Bethesda_Naval_Base,39.0035,-77.0869,Maryland,Montgomery,4319236.73,319292.18,0,0.475862069,0.496551724,0.027586207,0,0,0.816851475,0.165639386,0.001563097,0.014070936
Blackiston,39.2441,-75.7184,Delaware,Kent.DE,4344111.07,438006.47,0,0.116438356,0.315068493,0,0.568493151,0,0.035010914,0.084973011,0.393224323,0.475283817
BOTT,39.2677,-76.8119,Maryland,Howard,4348048.84,343692.09,0,0.351351351,0.648648649,0,0,0,0.609148667,0.367825859,0.015258945,0
Camp_Woodlands,38.97,-76.5681,Maryland,Anne.Arundel,4314616.74,364154.57,0,0.265306122,0.734693878,0,0,0.124147252,0.4480034,0.347520571,0.024982341,0.055346435
Carroll_Young,39.4476,-76.9277,Maryland,Carroll,4368222.44,334127.77,0,0.342281879,0.369127517,0.288590604,0,0.00031129,0.212836735,0.388217988,0.377118373,0
Catoctin_Creek_NC,39.3921,-77.5663,Maryland,Frederick,4363431.99,278996.75,0,0,0.356164384,0.643835616,0,0.021766131,0.02800677,0.327618329,0.60550333,0.017105439
Cecil_Jones,39.5609,-75.9147,Maryland,Cecil,4379422.76,421423.04,0,0.081632653,0.918367347,0,0,0,0.062519158,0.686857927,0.154052061,0.017359688
Cecil_Wilen,39.6736,-75.9314,Maryland,Cecil,4391945.56,420118.07,0,0.006666667,0.733333333,0.233333333,0.026666667,0,0.106714694,0.369575658,0.457808985,0.040731959
Chestnut_Garth,39.6783,-76.9067,Maryland,Carroll,4393790.22,336477.83,0,0.006666667,0.98,0.013333333,0,0,0.037082856,0.315643932,0.598304437,0.006822275
Chino_Farms_1_Pheasant_Woods,39.2347,-76.0079,Maryland,Queen.Annes,4343305.98,413012.33,0.01369863,0,0.479452055,0.335616438,0.171232877,0.409966826,0.026465997,0.082352547,0.40582008,0.072903454
Chino_Farms_2_NSWO_Woods,39.2351,-75.985,Maryland,Queen.Annes,4343328.63,414989.26,0.074829932,0,0.62585034,0.299319728,0,0.191324971,0.090161129,0.176562997,0.348486516,0.141507127
Chino_Farms_3_Double_Creek_Woods,39.2215,-75.9777,Maryland,Queen.Annes,4341812.49,415603.01,0,0.170068027,0.56462585,0.265306122,0,0.011236538,0.072304681,0.243084796,0.584886245,0.058839156
Climbing_Fern,38.4958,-75.3115,Delaware,Sussex,4260873.35,472836.26,0,0,0,0,1,0,0,0,0,1
Collins_Plot,38.4926,-75.3168,Delaware,Sussex,4260519.85,472372.86,0,0,0,0,1,0,0,0,0.089459115,0.910540885
Corcoran_Woods_New_Poplar_Grove,39.0331,-76.42,Maryland,Anne.Arundel,4321409,377094.39,0,0.006756757,0.743243243,0,0.25,0.052359548,0.142739476,0.298602521,0.101473416,0.390740015
Corcoran_Woods_Old_Wire_Section,39.0322,-76.4153,Maryland,Anne.Arundel,4321302.78,377499.65,0,0,0.319444444,0,0.680555556,0.132592692,0.143340968,0.284477162,0.02097598,0.404220918
DonLar_Farm,39.4711,-77.0453,Maryland,Carroll,4371053.81,324067.07,0,0,0.644295302,0.355704698,0,0,0.102656031,0.295459456,0.541623931,0.028304212
Dorchester_Ponds,38.5579,-75.8738,Maryland,Dorchester,4268080,423866.87,0,0.061643836,0.534246575,0.109589041,0.294520548,0,0.04372352,0.239001379,0.400064046,0.174339836
Dorsey_Park,38.3381,-76.5974,Maryland,Saint.Marys,4244536.34,360394.68,0,0,0.705479452,0.130136986,0.164383562,0,0.155364666,0.561384163,0.115682568,0.160309871
Elk_Neck_State_Forest,39.5763,-75.9138,Maryland,Cecil,4381131.14,421517.72,0,0.18,0.72,0.1,0,0,0.041892954,0.805683477,0.131021733,0.007133945
ERNPP,39.6145,-79.1149,Maryland,Garrett,4393068.23,146728.89,0,0.061643836,0.938356164,0,0,0,0.046737339,0.866677188,0.086585473,0
ERR&RR,39.5556,-75.8434,Maryland,Cecil,4378774.69,427542.61,0,0.157534247,0.657534247,0.123287671,0.061643836,0.175032003,0.111240877,0.299890188,0.309151413,0.084846536
Finzel_Swamp,39.7009,-78.9461,Maryland,Garrett,4402010.18,161647.39,0,0.053691275,0.859060403,0.006711409,0.080536913,0.002168013,0.054624843,0.81579466,0.111614791,0.015797693
Flag_Ponds,38.4459,-76.4584,Maryland,Calvert,4256297.66,372732.41,0,0.060810811,0.891891892,0,0.047297297,0.230037671,0.013894893,0.480145742,0.047798431,0.216451553
Fort_Slocum,38.9607,-77.0153,DC,District.of.Columbia,4314346.81,325387.53,0,0.801369863,0.198630137,0,0,0,0.98308626,0.015348277,0,0
Fort_Totten,38.9519,-77.0042,DC,District.of.Columbia,4313348.92,326327.86,0,0.659863946,0.340136054,0,0,0,0.945638611,0.052794717,0,0
Frankfort_Gate,38.4974,-75.2618,Delaware,Sussex,4261037.39,477170.76,0,0,0,0,1,0,0,0,0.150056364,0.846802062
Fred_Archibald_Audubon_Sanctuary,39.4026,-77.2784,Maryland,Frederick,4363931.75,303822.13,0,0,0.639455782,0.265306122,0.095238095,0,0.04071177,0.389140478,0.529954409,0.028361008
Greenbury_Point_Northern_Pine_Woods,38.9913,-76.4553,Maryland,Anne.Arundel,4316818.38,373964.74,0.101351351,0.101351351,0.452702703,0.283783784,0.060810811,0.352296446,0.283306515,0.127810216,0.078862275,0.148958669
Greys_Creek,38.4472,-75.1158,Maryland,Worcester,4255441.03,489895.12,0,0,0.198630137,0.5,0.301369863,0.179751683,0.204459818,0.035641485,0.228025202,0.336030638
Harford_Glen_Blue,39.4911,-76.3422,Maryland,Harford,4372136.61,384582.21,0,0.006756757,0.959459459,0,0.033783784,0.004344735,0.320781202,0.475563144,0.128549466,0.06237581
Harford_Glen_Yellow,39.4827,-76.3412,Maryland,Harford,4371203.04,384654.32,0,0,0.673469388,0.12244898,0.204081633,0.022381093,0.315585573,0.451997725,0.103056418,0.072312824
Harford_Tech_High_School,39.5603,-76.2923,Maryland,Harford,4379754.12,388983.59,0,0.103448276,0.882758621,0.013793103,0,0,0.280278482,0.37618775,0.299678394,0.017420329
Hellen_Creek,38.373,-76.467,Maryland,Calvert,4248220,371853.18,0.184931507,0,0.815068493,0,0,0.073952825,0.162201133,0.551397213,0.105514282,0.105668995
IH_1,38.5499,-77.204,Maryland,Charles,4269133.18,307937.87,0,0.082758621,0.917241379,0,0,0.200140406,0.047510253,0.661519466,0.042826968,0.039812545
IH_2,38.5461,-77.2025,Maryland,Charles,4268708.31,308058.49,0,0.2,0.8,0,0,0.043190148,0.05559189,0.794640103,0.045195405,0.028372842
IH_3,38.5528,-77.196,Maryland,Charles,4269438.33,308642.77,0,0,0.75,0.111111111,0.138888889,0.268156011,0.037788422,0.565497876,0.023946024,0.097984823
Kings_Landing,38.6239,-76.6684,Maryland,Calvert,4276361.84,354764.04,0,0.102040816,0.68707483,0.06122449,0.149659864,0.134767987,0.053879503,0.472678714,0.051784137,0.266459079
LHS1,38.2657,-76.6116,Maryland,Saint.Marys,4236523.81,359013.48,0,0,0.868965517,0.131034483,0,0,0.225870973,0.486813098,0.217093123,0.043347411
LHS2,38.2688,-76.6144,Maryland,Saint.Marys,4236872.08,358774.52,0,0.143835616,0.821917808,0.034246575,0,0,0.243178314,0.436030636,0.266768623,0.021516095
Little_Creek,39.1339,-75.4421,Delaware,Kent.DE,4331728.82,461789.97,0,0.101351351,0.02027027,0.027027027,0.851351351,0.000312321,0.094461813,0.019703785,0.52730819,0.356024582
Martinak_Cabin,38.8638,-75.8388,Maryland,Caroline,4301996.76,427227.24,0,0.074829932,0.496598639,0.183673469,0.244897959,0.212217861,0.07016683,0.290726202,0.116842493,0.26373896
Martinak_Dump_Trail,38.8601,-75.8393,Maryland,Caroline,4301586.57,427180.08,0.04109589,0.109589041,0.253424658,0.349315068,0.246575342,0.270203881,0.038995333,0.302444117,0.085298452,0.260685335
Merkle_Paw_Paw,38.7225,-76.7113,Maryland,Prince.Georges,4287372.84,351233.59,0,0,0.646258503,0.340136054,0.013605442,0,0.02892824,0.350902623,0.537446683,0.067304319
Merkle_Poplar_Springs,38.728,-76.7156,Maryland,Prince.Georges,4287990.2,350871.2,0,0,0.823943662,0.176056338,0,0,0.020421846,0.56342152,0.379403461,0.014455223
Mt._Airy,39.4134,-77.1993,Maryland,Frederick,4364961.46,310662.8,0,0.134228188,0.731543624,0.134228188,0,0,0.053289534,0.432886212,0.45943973,0.031085561
